province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity
Tra Vinh,31,22,11,ESE,0.1,79,47,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Tra Vinh,30,21,8,E,0.0,77,19,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Tra Vinh,28,23,7,E,3.6,85,72,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Tra Vinh,36,26,11,SSE,0.0,61,9,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Tra Vinh,33,27,9,SSE,6.5,73,64,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Tra Vinh,34,27,9,SW,2.5,67,71,1008,2021-04-22,1.25,1.0,0.5
Tra Vinh,30,25,13,SW,6.9,84,62,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Tra Vinh,33,26,8,SSW,1.7,78,45,1008,2020-09-11,19.55,8.0,19.782848912912186
Tra Vinh,28,23,18,ENE,2.2,81,69,1010,2020-12-01,47.707692307692305,49.0,5.962704600585722
Tra Vinh,31,23,4,W,0.4,79,36,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Tra Vinh,27,21,16,E,7.3,89,60,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Cam Pha,19,14,10,E,0.0,52,84,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248
Cam Pha,20,13,6,SSW,0.0,77,12,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Cam Pha,22,17,5,SSE,0.0,80,11,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Cam Pha,26,21,8,SSE,0.1,82,38,1003,2021-03-31,22.32967032967033,21.0,19.805192890897718
Cam Pha,26,23,6,SE,0.1,83,54,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Cam Pha,27,24,7,ESE,1.7,87,74,1008,2021-04-22,1.25,1.0,0.5
Cam Pha,30,26,11,S,28.2,81,84,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Cam Pha,29,24,14,SSE,19.7,88,67,1005,2020-09-11,19.55,8.0,19.782848912912186
Cam Pha,19,13,9,NE,0.0,67,15,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322
Cam Pha,21,17,13,NE,0.0,63,59,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
My Tho,32,21,7,SSW,0.1,76,41,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
My Tho,31,21,6,ESE,0.0,74,15,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
